,Answers,Number of Words,answers_without_stopwords,cleaned_answers
1411,Разрабока новой Паропроизводящей установки,4,Разрабока новой Паропроизводящей установки,разрабока новой паропроизводящей установки
1412,Корпоративная культура,2,Корпоративная культура,корпоративная культура
1413,"Развитие атомной отрасли в России, для благополучия и процветания населения страны",11,"Развитие атомной отрасли России, благополучия процветания населения страны",развитие атомной отрасли россии  благополучия процветания населения страны
1414,Принципы Росатома-Принципы России,3,Принципы Росатома-Принципы России,принципы росатома принципы россии
1415,Стратегические цели Росатома.,3,Стратегические цели Росатома.,стратегические цели росатома 
1416,Создание единой команды.,3,Создание единой команды.,создание единой команды 
1417,Перспектива развития и соответствующее достойное вознаграждение за выполненную работу,9,Перспектива развития соответствующее достойное вознаграждение выполненную работу,перспектива развития соответствующее достойное вознаграждение выполненную работу
1418,Развитие кадрового состава.,3,Развитие кадрового состава.,развитие кадрового состава 
1419,"Стремление занять ведущую роль в энергетике как на внутреннем, так и на внешнем рынке.",14,"Стремление занять ведущую роль энергетике внутреннем, внешнем рынке.",стремление занять ведущую роль энергетике внутреннем  внешнем рынке 
1420,Реализация инноваций в перспективных отраслевых проектах в России и за рубежом. Цифровизация и модернизация процессов в атомной отрасли,18,Реализация инноваций перспективных отраслевых проектах России рубежом. Цифровизация модернизация процессов атомной отрасли,реализация инноваций перспективных отраслевых проектах россии рубежом  цифровизация модернизация процессов атомной отрасли
1421,"Такой ""большой цели"" не существует",5,"Такой ""большой цели"" существует",такой  большой цели  существует
1422,я не знаю,3,знаю,знаю
1423,"Вдохновляют существующие цели. И любые проекты, которые идут во благо обществу.",11,"Вдохновляют существующие цели. И любые проекты, которые идут благо обществу.",вдохновляют существующие цели  и любые проекты  которые идут благо обществу 
1424,"ядерная медицина, ведутся работы по созданию первого федерального центра ядерной медицины.",11,"ядерная медицина, ведутся работы созданию первого федерального центра ядерной медицины.",ядерная медицина  ведутся работы созданию первого федерального центра ядерной медицины 
1425,"Что я работаю на уникальном предприятии, которое чтит традиции и заботится о населении, делает все возможное для повышения производительности труда, путем уменьшения бюрократии, а не наоборот.",26,"Что работаю уникальном предприятии, которое чтит традиции заботится населении, делает возможное повышения производительности труда, путем уменьшения бюрократии, наоборот.",что работаю уникальном предприятии  которое чтит традиции заботится населении  делает возможное повышения производительности труда  путем уменьшения бюрократии  наоборот 
1426,"Мне не нужна большая цель, я достаточно мотивирован. Моя работа интересная, я иду на неё с удовольствием.",17,"Мне нужна большая цель, достаточно мотивирован. Моя работа интересная, иду неё удовольствием.",мне нужна большая цель  достаточно мотивирован  моя работа интересная  иду неё удовольствием 
1427,"Реальная оптимизация ""бумажных"" процессов; снижение объёма отчётности, которую никто не читает. Создание удобных и реально работающих отраслевых платформ по сбору и обработке данных.",23,"Реальная оптимизация ""бумажных"" процессов; снижение объёма отчётности, которую никто читает. Создание удобных реально работающих отраслевых платформ сбору обработке данных.",реальная оптимизация  бумажных  процессов  снижение объёма отчётности  которую никто читает  создание удобных реально работающих отраслевых платформ сбору обработке данных 
1428,На шаг впереди!,3,На шаг впереди!,на шаг впереди 
1429,Исполнение ключевого события,3,Исполнение ключевого события,исполнение ключевого события
1430,Строительство АЭС в Российской Федерации с целью достижения закрытого топливного цикла с учетом опережающих сроков строительства по сравнению с зарубежными проектами,21,Строительство АЭС Российской Федерации целью достижения закрытого топливного цикла учетом опережающих сроков строительства сравнению зарубежными проектами,строительство аэс российской федерации целью достижения закрытого топливного цикла учетом опережающих сроков строительства сравнению зарубежными проектами
1431,у меня есть все для выполнения своей работы.,8,выполнения своей работы.,выполнения своей работы 
1432,Выход на международные рынки и развитие новых технологий,8,Выход международные рынки развитие новых технологий,выход международные рынки развитие новых технологий
1433,"Чтобы атомная отрасль России стала самой сильной, мощной и передовой в мире. Это абсолютно серьёзно!",15,"Чтобы атомная отрасль России стала самой сильной, мощной передовой мире. Это абсолютно серьёзно!",чтобы атомная отрасль россии стала самой сильной  мощной передовой мире  это абсолютно серьёзно 
1434,Движение вперед,2,Движение вперед,движение вперед
1435,"Улучшение качества профессионального развития и обучения, а так же уважительное отношение к труду и дружелюбная атмосфера",16,"Улучшение качества профессионального развития обучения, уважительное отношение труду дружелюбная атмосфера",улучшение качества профессионального развития обучения  уважительное отношение труду дружелюбная атмосфера
1436,Повышение долии на международном рынке,5,Повышение долии международном рынке,повышение долии международном рынке
1437,"Осмысленная работа, которая привнесет вклад в развитие предприятия.",8,"Осмысленная работа, которая привнесет вклад развитие предприятия.",осмысленная работа  которая привнесет вклад развитие предприятия 
1438,Социальное развитие городов спутников. Улучшение жизни населения городов спутников.,9,Социальное развитие городов спутников. Улучшение жизни населения городов спутников.,социальное развитие городов спутников  улучшение жизни населения городов спутников 
1439,Услышать рабочих.,2,Услышать рабочих.,услышать рабочих 
1440,"Меня вдохновляет созидательная работа в команде с любой ПРОИЗВОДСТВЕННОЙ целью. И в прошлом вопросе нет места для ввода комментария, пишу здесь: Наиболее эффективными форматами мероприятий по работе с молодежью был бы так же молодежный электронный форум, WhatsApp. Спасибо и удачи в развитии Совета молодежи!",44,"Меня вдохновляет созидательная работа команде любой ПРОИЗВОДСТВЕННОЙ целью. И прошлом вопросе места ввода комментария, пишу здесь: Наиболее эффективными форматами мероприятий работе молодежью молодежный электронный форум, WhatsApp. Спасибо удачи развитии Совета молодежи!",меня вдохновляет созидательная работа команде любой производственной целью  и прошлом вопросе места ввода комментария  пишу здесь  наиболее эффективными форматами мероприятий работе молодежью молодежный электронный форум  whatsapp  спасибо удачи развитии совета молодежи 
1441,Достижение ГК Росатом стратегических целей,5,Достижение ГК Росатом стратегических целей,достижение гк росатом стратегических целей
1442,Изменение мира к лучшему,4,Изменение мира лучшему,изменение мира лучшему
1443,"Меньше рутиной работы, и больше творческой.",6,"Меньше рутиной работы, творческой.",меньше рутиной работы  творческой 
1444,"Мне непонятен вопрос. О каких ""больших целях"" идет речь? Возможно, указав в опросе эти ""большие цели"", было бы проще ответить на этот вопрос. Для выполнения своих обязанностей у меня достаточно мотивации.",31,"Мне непонятен вопрос. О каких ""больших целях"" идет речь? Возможно, указав опросе ""большие цели"", проще ответить вопрос. Для выполнения своих обязанностей достаточно мотивации.",мне непонятен вопрос  о каких  больших целях  идет речь  возможно  указав опросе  большие цели   проще ответить вопрос  для выполнения своих обязанностей достаточно мотивации 
1445,Участие во внешних мероприятиях всероссийского и международного уровня,8,Участие внешних мероприятиях всероссийского международного уровня,участие внешних мероприятиях всероссийского международного уровня
1446,Развитие Росатома,2,Развитие Росатома,развитие росатома
1447,не могу ответить на этот вопрос,6,могу ответить вопрос,могу ответить вопрос
1448,Укрепление и развитие статуса ГК на международном рынке,8,Укрепление развитие статуса ГК международном рынке,укрепление развитие статуса гк международном рынке
1449,"Уважение в ЕДИНОЙ комаде, быть на шаг впереди",8,"Уважение ЕДИНОЙ комаде, шаг впереди",уважение единой комаде  шаг впереди
1450,Лидирующее место в мире по сооружению и безопасной эксплуатации АЭС,10,Лидирующее место мире сооружению безопасной эксплуатации АЭС,лидирующее место мире сооружению безопасной эксплуатации аэс
1451,Прислушивание Росатома к поступаемым инициативам от молодого поколения коллектива Росатома.,10,Прислушивание Росатома поступаемым инициативам молодого поколения коллектива Росатома.,прислушивание росатома поступаемым инициативам молодого поколения коллектива росатома 
1452,привлечение морда молодых специалистов в нашу отрасль и улучшение условий а также развитие уже действующих специалистов,16,привлечение морда молодых специалистов нашу отрасль улучшение условий также развитие действующих специалистов,привлечение морда молодых специалистов нашу отрасль улучшение условий также развитие действующих специалистов
1453,Открытость. Доверие. Но это не к Росатому. Это к линейным руководителям,11,Открытость. Доверие. Но это Росатому. Это линейным руководителям,открытость  доверие  но это росатому  это линейным руководителям
1454,"Уверенность в завтрашнем дне, которая, к сожалению, у большинства в наше время отсутствует...",13,"Уверенность завтрашнем дне, которая, сожалению, большинства наше время отсутствует...",уверенность завтрашнем дне  которая  сожалению  большинства наше время отсутствует   
1455,Работа в единой команде с реализацией инициатив для достижения отраслевых результатов.,11,Работа единой команде реализацией инициатив достижения отраслевых результатов.,работа единой команде реализацией инициатив достижения отраслевых результатов 
1456,Повышение уровня жизни,3,Повышение уровня жизни,повышение уровня жизни
1457,Димилитаризация всего мира.,3,Димилитаризация мира.,димилитаризация мира 
1458,Мотивация денежного и спортивного стимулирования работников.,6,Мотивация денежного спортивного стимулирования работников.,мотивация денежного спортивного стимулирования работников 
1459,"1.Действительная забота о росте благосостояния сотрудников, зарплатная политика и социальная поддержка без перекосов (когда в одном филиале/ЦА разрешено то, что отсутствует в другом филиале) 2.Приоритет на выполнение непосредственных производственных задач,а развитие вспомогательных направлений, направленных якобы на улучшение производственного процесса - во вторую и третью очередь, без ущерба и вреда для основной деятельности.",52,"1.Действительная забота росте благосостояния сотрудников, зарплатная политика социальная поддержка перекосов (когда одном филиале/ЦА разрешено то, отсутствует другом филиале) 2.Приоритет выполнение непосредственных производственных задач,а развитие вспомогательных направлений, направленных якобы улучшение производственного процесса - вторую третью очередь, ущерба вреда основной деятельности.", действительная забота росте благосостояния сотрудников  зарплатная политика социальная поддержка перекосов  когда одном филиале ца разрешено то  отсутствует другом филиале   приоритет выполнение непосредственных производственных задач а развитие вспомогательных направлений  направленных якобы улучшение производственного процесса   вторую третью очередь  ущерба вреда основной деятельности 
1460,Развитие Росатома до уровня флагмана российской промышленности и инновационной сферы деятельности (с минимизацией потока бессмысленного бумагооборота),16,Развитие Росатома уровня флагмана российской промышленности инновационной сферы деятельности (с минимизацией потока бессмысленного бумагооборота),развитие росатома уровня флагмана российской промышленности инновационной сферы деятельности  с минимизацией потока бессмысленного бумагооборота 
1461,"Вдохновить на работу и наполнить смыслом наш ежедневный труд сможет непосредственный руководитель, который по достоинству оценит работу подчинённого персонала и будет держать свои данные обещания.",25,"Вдохновить работу наполнить смыслом наш ежедневный труд сможет непосредственный руководитель, который достоинству оценит работу подчинённого персонала держать свои данные обещания.",вдохновить работу наполнить смыслом наш ежедневный труд сможет непосредственный руководитель  который достоинству оценит работу подчинённого персонала держать свои данные обещания 
1462,"Все на работу ходят для получения средств для существования в этом мире. Для меня значимым будет получение денежного вознаграждения за мою работу - повышение ИСН, разовые премии, повышение должности и т.д. Именно эта возможность как правило вдохновляет большинство людей.",39,"Все работу ходят получения средств существования мире. Для значимым получение денежного вознаграждения мою работу - повышение ИСН, разовые премии, повышение должности т.д. Именно эта возможность правило вдохновляет большинство людей.",все работу ходят получения средств существования мире  для значимым получение денежного вознаграждения мою работу   повышение исн  разовые премии  повышение должности т д  именно эта возможность правило вдохновляет большинство людей 
1463,Цель уже есть. Быть первыми и лучшими.,7,Цель есть. Быть первыми лучшими.,цель есть  быть первыми лучшими 
1464,"Банальность, но это материальные поощрения. Все таки свои мечты мы можем осуществить только по средствам денег.",16,"Банальность, это материальные поощрения. Все таки свои мечты можем осуществить средствам денег.",банальность  это материальные поощрения  все таки свои мечты можем осуществить средствам денег 
1465,нацеленность на результат,3,нацеленность результат,нацеленность результат
1466,Улучшения качества жизни работников,4,Улучшения качества жизни работников,улучшения качества жизни работников
1467,Визиты на различные предприятия,4,Визиты различные предприятия,визиты различные предприятия
1468,Цифровизация отрасли.,2,Цифровизация отрасли.,цифровизация отрасли 
1469,"Оказание положительного влияния на развитие государства за счет развития городов расположения объектов атомной отрасли: развития инфраструктуры, социальных объектов, трудоустройства населения, увеличение бюджета городов. Увеличение роли Росатома на международной ""арене"" - увлечение доли заказов на ""продукты"" Росатома (строительство АЭС и т.д) за рубежом.",42,"Оказание положительного влияния развитие государства счет развития городов расположения объектов атомной отрасли: развития инфраструктуры, социальных объектов, трудоустройства населения, увеличение бюджета городов. Увеличение роли Росатома международной ""арене"" - увлечение доли заказов ""продукты"" Росатома (строительство АЭС т.д) рубежом.",оказание положительного влияния развитие государства счет развития городов расположения объектов атомной отрасли  развития инфраструктуры  социальных объектов  трудоустройства населения  увеличение бюджета городов  увеличение роли росатома международной  арене    увлечение доли заказов  продукты  росатома  строительство аэс т д  рубежом 
1470,"Развитие городов, в которых находятся атомные станции, а не городов, к которым они документально относятся.",15,"Развитие городов, которых находятся атомные станции, городов, которым документально относятся.",развитие городов  которых находятся атомные станции  городов  которым документально относятся 
1471,Снижение сроков протекания процессов с учетом обеспечения безопасной эксплуатации АЭС.,10,Снижение сроков протекания процессов учетом обеспечения безопасной эксплуатации АЭС.,снижение сроков протекания процессов учетом обеспечения безопасной эксплуатации аэс 
1472,Создание коммунизма!!!,2,Создание коммунизма!!!,создание коммунизма   
1473,Благополучие сотрудников предприятия и жителелей города,6,Благополучие сотрудников предприятия жителелей города,благополучие сотрудников предприятия жителелей города
1474,Переквалификация или перевод работника на другую должность в случае оптимизации численности персонала,12,Переквалификация перевод работника другую должность случае оптимизации численности персонала,переквалификация перевод работника другую должность случае оптимизации численности персонала
1475,строительство Кольской АЭС-2,3,строительство Кольской АЭС-2,строительство кольской аэс 
1476,"строительство Смоленской АЭС - 2, которое даст будущее родному городу. В данный момент уровень жизни в Десногорске снижается лавинообразным образом.",20,"строительство Смоленской АЭС - 2, которое даст будущее родному городу. В данный момент уровень жизни Десногорске снижается лавинообразным образом.",строительство смоленской аэс     которое даст будущее родному городу  в данный момент уровень жизни десногорске снижается лавинообразным образом 
1477,"Затрудняюсь ответить, мой труд и так наполнен смыслом :)",9,"Затрудняюсь ответить, труд наполнен смыслом :)",затрудняюсь ответить  труд наполнен смыслом   
1478,Строительство САЭС-2.,2,Строительство САЭС-2.,строительство саэс  
1479,"Увеличения доли строительства в международном рынке и дальнейшее участие мне, как специалисту, на строительстве АЭС за границей",17,"Увеличения доли строительства международном рынке дальнейшее участие мне, специалисту, строительстве АЭС границей",увеличения доли строительства международном рынке дальнейшее участие мне  специалисту  строительстве аэс границей
1480,перекрёстный обмен знаниями,3,перекрёстный обмен знаниями,перекрёстный обмен знаниями
1481,"Для меня, большая цель Росатома заключается в принципиальном улучшении качества жизни людей. Электроэнергия занимает важную нишу в жизни каждого человека, и современное общество сложно представить без этого ценного ресурса. Повышение энергоэффективности, внедрение новейших технологий, расширение рынка продукции, эффективное выстраивание рабочего процесса, повышение качества сервиса - это задачи, над которыми каждый день работают сотрудники Росатома. И каждая эта задача в той или иной мере упрощает жизнь людей и делает её более комфортной. Каждый сотрудник в своей мере вносит вклад в эти задачи, и все вместе мы выполняем одну большую и важную миссию.",91,"Для меня, большая цель Росатома заключается принципиальном улучшении качества жизни людей. Электроэнергия занимает важную нишу жизни каждого человека, современное общество сложно представить ценного ресурса. Повышение энергоэффективности, внедрение новейших технологий, расширение рынка продукции, эффективное выстраивание рабочего процесса, повышение качества сервиса - это задачи, которыми каждый день работают сотрудники Росатома. И каждая эта задача той иной мере упрощает жизнь людей делает её комфортной. Каждый сотрудник своей мере вносит вклад задачи, вместе выполняем одну большую важную миссию.",для меня  большая цель росатома заключается принципиальном улучшении качества жизни людей  электроэнергия занимает важную нишу жизни каждого человека  современное общество сложно представить ценного ресурса  повышение энергоэффективности  внедрение новейших технологий  расширение рынка продукции  эффективное выстраивание рабочего процесса  повышение качества сервиса   это задачи  которыми каждый день работают сотрудники росатома  и каждая эта задача той иной мере упрощает жизнь людей делает её комфортной  каждый сотрудник своей мере вносит вклад задачи  вместе выполняем одну большую важную миссию 
1482,"Достижение мирового уровня медицинских изысканий, особенно в бионике и аугметике, хотя Росатом этим не занимается, но в рамках текущего сотрудничества по радиомедицине можно было бы расширить компетенции. А так, в принципе, любая, после достижения которой я бы мог чувствовать себя частью сильной команды. И был бы престиж профессии. А не каждый раз слышать от знакомых вопрос, зачем(тут я сильно смягчил) я работаю во ВНИИ.",64,"Достижение мирового уровня медицинских изысканий, особенно бионике аугметике, хотя Росатом этим занимается, рамках текущего сотрудничества радиомедицине расширить компетенции. А так, принципе, любая, достижения которой мог чувствовать частью сильной команды. И престиж профессии. А каждый слышать знакомых вопрос, зачем(тут сильно смягчил) работаю ВНИИ.",достижение мирового уровня медицинских изысканий  особенно бионике аугметике  хотя росатом этим занимается  рамках текущего сотрудничества радиомедицине расширить компетенции  а так  принципе  любая  достижения которой мог чувствовать частью сильной команды  и престиж профессии  а каждый слышать знакомых вопрос  зачем тут сильно смягчил  работаю внии 
1483,Утроение МРОТ,2,Утроение МРОТ,утроение мрот
1484,"Постоянное саморазвитие, во благо развитие отрасли",6,"Постоянное саморазвитие, благо развитие отрасли",постоянное саморазвитие  благо развитие отрасли
1485,"Новые продукты, направленные на улучшение жизни в стране",8,"Новые продукты, направленные улучшение жизни стране",новые продукты  направленные улучшение жизни стране
1486,Управляемый термоядерный синтез.,3,Управляемый термоядерный синтез.,управляемый термоядерный синтез 
1487,Увеличение доли на международном рынке: работа на зарубежных объектах отрасли.,10,Увеличение доли международном рынке: работа зарубежных объектах отрасли.,увеличение доли международном рынке  работа зарубежных объектах отрасли 
1488,Открытость руководства.,2,Открытость руководства.,открытость руководства 
1489,"Я работаю за деньги, а не за идею. Вы же в курсе, что в предыдущем вопросе нет поля для комментария, а вариант ответа ""укажите в комментарии"" есть?",27,"Я работаю деньги, идею. Вы курсе, предыдущем вопросе поля комментария, вариант ответа ""укажите комментарии"" есть?",я работаю деньги  идею  вы курсе  предыдущем вопросе поля комментария  вариант ответа  укажите комментарии  есть 
1490,?,1,?, 
1491,"Видимость того, что Ты можешь повлиять на что-то.",8,"Видимость того, Ты можешь повлиять что-то.",видимость того  ты можешь повлиять что то 
1492,Уже наполнен,2,Уже наполнен,уже наполнен
1493,"Новое направление деятельности Росатома, в котором моё участие будет непосредственным.",10,"Новое направление деятельности Росатома, котором моё участие непосредственным.",новое направление деятельности росатома  котором моё участие непосредственным 
1494,"Совершентвование и развитие ГК ""Росатом",5,"Совершентвование развитие ГК ""Росатом",совершентвование развитие гк  росатом
1495,Движение вверх!,2,Движение вверх!,движение вверх 
1496,новые продукты на российских и международных рынках,7,новые продукты российских международных рынках,новые продукты российских международных рынках
1497,Учитывание моих интересов,3,Учитывание моих интересов,учитывание моих интересов
1498,Материальная мотивация и участие в новых и интересных проектах,9,Материальная мотивация участие новых интересных проектах,материальная мотивация участие новых интересных проектах
1499,Уверенность в завтрашнем дне и карьерный рост,7,Уверенность завтрашнем дне карьерный рост,уверенность завтрашнем дне карьерный рост
1500,нет информации,2,информации,информации
1501,Реализация проектов,2,Реализация проектов,реализация проектов
1502,"Сохранение суверенитета РФ. Технологический ключ к здоровью, экологическому энергообеспечению будущих поколений.",11,"Сохранение суверенитета РФ. Технологический ключ здоровью, экологическому энергообеспечению будущих поколений.",сохранение суверенитета рф  технологический ключ здоровью  экологическому энергообеспечению будущих поколений 
1503,"Стабильный высокий зароботок, поощрение, поддержка в различных жизненных ситуациях, организация проведения совместного досуга для работников.",15,"Стабильный высокий зароботок, поощрение, поддержка различных жизненных ситуациях, организация проведения совместного досуга работников.",стабильный высокий зароботок  поощрение  поддержка различных жизненных ситуациях  организация проведения совместного досуга работников 
1504,Снижение себестоимости продуктов и сроков протекания процессов.,7,Снижение себестоимости продуктов сроков протекания процессов.,снижение себестоимости продуктов сроков протекания процессов 
1505,123,1,123,
1506,Когда росатом сможет быть на уровне воплощения идей уровня Илона Маска,11,Когда росатом сможет уровне воплощения идей уровня Илона Маска,когда росатом сможет уровне воплощения идей уровня илона маска
1507,безопасность. Экономическая эффективность.,3,безопасность. Экономическая эффективность.,безопасность  экономическая эффективность 
1508,"""Денег нет, но вы держитесь""",5,"""Денег нет, держитесь""", денег нет  держитесь 
1509,Получение международного опыта проектирования и обмен профессиональными навыками с высококлассными специалистами отрасли,12,Получение международного опыта проектирования обмен профессиональными навыками высококлассными специалистами отрасли,получение международного опыта проектирования обмен профессиональными навыками высококлассными специалистами отрасли
