,Какая «большая цель» Росатома может вдохновить Вас на работу и наполнить смыслом ваш ежедневный труд?
1406,"Обеспечить Россию чистой, безопасной, доступной энергией, позволяющей эффективно развиваться нашей родине. Хватит продавать ресурсы соседям! мы не безрукие! Наладим Российскую промышленность."
1407,"Поддержка молодых семей (например, жилищные программы) Возможность получать дополнительное образование"
1408,"Затрудняюсь выделить конкретную цель, вдохновение появляется от совокупности всех целей."
1409,Лидерство на мировом рынке атомной энергии - увеличение доли на международных рынках.
1410,"Ценность в молодых специалистах. Привлекать заинтересованных кадров к всевозможным командным играм, тренингам, мастер-классам, но только в нерабочее время!"
1411,Разрабока новой Паропроизводящей установки
1412,Корпоративная культура
1413,"Развитие атомной отрасли в России, для благополучия и процветания населения страны"
1414,Принципы Росатома-Принципы России
1415,Стратегические цели Росатома.
1416,Создание единой команды.
1417,Перспектива развития и соответствующее достойное вознаграждение за выполненную работу
1418,Развитие кадрового состава.
1419,"Стремление занять ведущую роль в энергетике как на внутреннем, так и на внешнем рынке."
1420,Реализация инноваций в перспективных отраслевых проектах в России и за рубежом. Цифровизация и модернизация процессов в атомной отрасли
1421,"Такой ""большой цели"" не существует"
1422,я не знаю
1423,"Вдохновляют существующие цели. И любые проекты, которые идут во благо обществу."
1424,"ядерная медицина, ведутся работы по созданию первого федерального центра ядерной медицины."
1425,"Что я работаю на уникальном предприятии, которое чтит традиции и заботится о населении, делает все возможное для повышения производительности труда, путем уменьшения бюрократии, а не наоборот."
1426,"Мне не нужна большая цель, я достаточно мотивирован. Моя работа интересная, я иду на неё с удовольствием."
1427,"Реальная оптимизация ""бумажных"" процессов; снижение объёма отчётности, которую никто не читает. Создание удобных и реально работающих отраслевых платформ по сбору и обработке данных."
1428,На шаг впереди!
1429,Исполнение ключевого события
1430,Строительство АЭС в Российской Федерации с целью достижения закрытого топливного цикла с учетом опережающих сроков строительства по сравнению с зарубежными проектами
1431,у меня есть все для выполнения своей работы.
1432,Выход на международные рынки и развитие новых технологий
1433,"Чтобы атомная отрасль России стала самой сильной, мощной и передовой в мире. Это абсолютно серьёзно!"
1434,Движение вперед
1435,"Улучшение качества профессионального развития и обучения, а так же уважительное отношение к труду и дружелюбная атмосфера"
1436,Повышение долии на международном рынке
1437,"Осмысленная работа, которая привнесет вклад в развитие предприятия."
1438,Социальное развитие городов спутников. Улучшение жизни населения городов спутников.
1439,Услышать рабочих.
1440,"Меня вдохновляет созидательная работа в команде с любой ПРОИЗВОДСТВЕННОЙ целью. И в прошлом вопросе нет места для ввода комментария, пишу здесь: Наиболее эффективными форматами мероприятий по работе с молодежью был бы так же молодежный электронный форум, WhatsApp. Спасибо и удачи в развитии Совета молодежи!"
1441,Достижение ГК Росатом стратегических целей
1442,Изменение мира к лучшему
1443,"Меньше рутиной работы, и больше творческой."
1444,"Мне непонятен вопрос. О каких ""больших целях"" идет речь? Возможно, указав в опросе эти ""большие цели"", было бы проще ответить на этот вопрос. Для выполнения своих обязанностей у меня достаточно мотивации."
1445,Участие во внешних мероприятиях всероссийского и международного уровня
1446,Развитие Росатома
1447,не могу ответить на этот вопрос
1448,Укрепление и развитие статуса ГК на международном рынке
1449,"Уважение в ЕДИНОЙ комаде, быть на шаг впереди"
1450,Лидирующее место в мире по сооружению и безопасной эксплуатации АЭС
1451,Прислушивание Росатома к поступаемым инициативам от молодого поколения коллектива Росатома.
1452,привлечение морда молодых специалистов в нашу отрасль и улучшение условий а также развитие уже действующих специалистов
1453,Открытость. Доверие. Но это не к Росатому. Это к линейным руководителям
1454,"Уверенность в завтрашнем дне, которая, к сожалению, у большинства в наше время отсутствует..."
1455,Работа в единой команде с реализацией инициатив для достижения отраслевых результатов.
1456,Повышение уровня жизни
1457,Димилитаризация всего мира.
1458,Мотивация денежного и спортивного стимулирования работников.
1459,"1.Действительная забота о росте благосостояния сотрудников, зарплатная политика и социальная поддержка без перекосов (когда в одном филиале/ЦА разрешено то, что отсутствует в другом филиале) 2.Приоритет на выполнение непосредственных производственных задач,а развитие вспомогательных направлений, направленных якобы на улучшение производственного процесса - во вторую и третью очередь, без ущерба и вреда для основной деятельности."
1460,Развитие Росатома до уровня флагмана российской промышленности и инновационной сферы деятельности (с минимизацией потока бессмысленного бумагооборота)
1461,"Вдохновить на работу и наполнить смыслом наш ежедневный труд сможет непосредственный руководитель, который по достоинству оценит работу подчинённого персонала и будет держать свои данные обещания."
1462,"Все на работу ходят для получения средств для существования в этом мире. Для меня значимым будет получение денежного вознаграждения за мою работу - повышение ИСН, разовые премии, повышение должности и т.д. Именно эта возможность как правило вдохновляет большинство людей."
1463,Цель уже есть. Быть первыми и лучшими.
1464,"Банальность, но это материальные поощрения. Все таки свои мечты мы можем осуществить только по средствам денег."
1465,нацеленность на результат
1466,Улучшения качества жизни работников
1467,Визиты на различные предприятия
1468,Цифровизация отрасли.
1469,"Оказание положительного влияния на развитие государства за счет развития городов расположения объектов атомной отрасли: развития инфраструктуры, социальных объектов, трудоустройства населения, увеличение бюджета городов. Увеличение роли Росатома на международной ""арене"" - увлечение доли заказов на ""продукты"" Росатома (строительство АЭС и т.д) за рубежом."
1470,"Развитие городов, в которых находятся атомные станции, а не городов, к которым они документально относятся."
1471,Снижение сроков протекания процессов с учетом обеспечения безопасной эксплуатации АЭС.
1472,Создание коммунизма!!!
1473,Благополучие сотрудников предприятия и жителелей города
1474,Переквалификация или перевод работника на другую должность в случае оптимизации численности персонала
1475,строительство Кольской АЭС-2
1476,"строительство Смоленской АЭС - 2, которое даст будущее родному городу. В данный момент уровень жизни в Десногорске снижается лавинообразным образом."
1477,"Затрудняюсь ответить, мой труд и так наполнен смыслом :)"
1478,Строительство САЭС-2.
1479,"Увеличения доли строительства в международном рынке и дальнейшее участие мне, как специалисту, на строительстве АЭС за границей"
1480,перекрёстный обмен знаниями
1481,"Для меня, большая цель Росатома заключается в принципиальном улучшении качества жизни людей. Электроэнергия занимает важную нишу в жизни каждого человека, и современное общество сложно представить без этого ценного ресурса. Повышение энергоэффективности, внедрение новейших технологий, расширение рынка продукции, эффективное выстраивание рабочего процесса, повышение качества сервиса - это задачи, над которыми каждый день работают сотрудники Росатома. И каждая эта задача в той или иной мере упрощает жизнь людей и делает её более комфортной. Каждый сотрудник в своей мере вносит вклад в эти задачи, и все вместе мы выполняем одну большую и важную миссию."
1482,"Достижение мирового уровня медицинских изысканий, особенно в бионике и аугметике, хотя Росатом этим не занимается, но в рамках текущего сотрудничества по радиомедицине можно было бы расширить компетенции. А так, в принципе, любая, после достижения которой я бы мог чувствовать себя частью сильной команды. И был бы престиж профессии. А не каждый раз слышать от знакомых вопрос, зачем(тут я сильно смягчил) я работаю во ВНИИ."
1483,Утроение МРОТ
1484,"Постоянное саморазвитие, во благо развитие отрасли"
1485,"Новые продукты, направленные на улучшение жизни в стране"
1486,Управляемый термоядерный синтез.
1487,Увеличение доли на международном рынке: работа на зарубежных объектах отрасли.
1488,Открытость руководства.
1489,"Я работаю за деньги, а не за идею. Вы же в курсе, что в предыдущем вопросе нет поля для комментария, а вариант ответа ""укажите в комментарии"" есть?"
1490,?
1491,"Видимость того, что Ты можешь повлиять на что-то."
1492,Уже наполнен
1493,"Новое направление деятельности Росатома, в котором моё участие будет непосредственным."
1494,"Совершентвование и развитие ГК ""Росатом"
1495,Движение вверх!
1496,новые продукты на российских и международных рынках
1497,Учитывание моих интересов
1498,Материальная мотивация и участие в новых и интересных проектах
1499,Уверенность в завтрашнем дне и карьерный рост
1500,нет информации
1501,Реализация проектов
1502,"Сохранение суверенитета РФ. Технологический ключ к здоровью, экологическому энергообеспечению будущих поколений."
1503,"Стабильный высокий зароботок, поощрение, поддержка в различных жизненных ситуациях, организация проведения совместного досуга для работников."
1504,Снижение себестоимости продуктов и сроков протекания процессов.
1505,123
1506,Когда росатом сможет быть на уровне воплощения идей уровня Илона Маска
1507,безопасность. Экономическая эффективность.
1508,"""Денег нет, но вы держитесь"""
1509,Получение международного опыта проектирования и обмен профессиональными навыками с высококлассными специалистами отрасли
1510,трудно ответить
1511,"Прозрачность работы, а не закулисные сплетни"
1512,Внедрение и реализация экологически интеллектуальных и экономически обоснованных технологий при выводе АЭС из эксплуатации в России и за рубежом.
1513,0
1514,"Причастность меня, как специалиста, в достижении конкретного большого результата Росатома, реализации проекта. Оцененный руководством вклад конкретного отдела или управления в результаты компании, с обратной связью и анализом выполненной работы."
1515,Повышение престижа РФ за рубежом
1516,Такой целью является сохранение мирового лидерства Росатома в ядерной энергетике и увеличение дистанции от конкурентов. Стремление к данно
1517,"Отказ от углеводородного топлива в пользу существующей атомной энергетики, развивающейся термоядерной, а также других альтрнативных источников (солнечная энергия, ветрянная и т.п.)."
1518,Обеспечить всех доступных и экологически чистой энергией на основе ядерных технологий.
1519,"Обеспечить мир дешевой, безопасной и чистой энергией"
1520,Обеспечение безопасного функционирования АЭС
1521,Продвижение бренда компании
1522,Реализация стратегических задач отрасли.
1523,"скорее не цели Росатома, а возможность развития и поощрения или признания со стороны коллег и руководства"
1524,перспективы
1525,"Развитие России, повышение статуса нашей страны на международной арене"
1526,Формирование комфортной среды для работы и развития
1527,"поддержка вымирающих животных, развитие регионов, высоких технологий"
1528,Мой ежедневный труд всегда наполен смыслом. Иначе как без смысла можно вообще работать!
1529,"Стремление к безопасной и экологичной выработке электроэнергии. Научные и инновационные методы к утилизации и к строительству АЭС. Исследования и нововведения, способные изменить пренебрежительное отношение к атомной промышленности по всему миру."
1530,Использование знаний и технологий в гражданских отраслях.
1531,"Работа над ""сменой"" молодежи. Поиск и развитие тех кому интересны развитие и поддержание традиций сообщеста"
1532,"Такой целью должна стать трансформация проектного производства. На данный момент мне видятся две основные причины неэффективной работы проектировщиков: организационная и инструментальная. Организационная проявляется в том, что большое количество работы делается и переделывается впустую. Проектирование итерационный процесс, но этот процесс не должен проходить бездумно. Сейчас в 90% случаев отдел получает задание, выполняет свою часть работы, а перед сдачей в архив задание меняется и все приходится переделывать заново. И так по несколько раз. Все это очень замедляет работу, снижает ее качество и создает у исполнителя ощущение бесполезного труда. Нет никакого смысла начинать проектирование, если нет исходных данных. Нет смысла делать такую работу просто для галочки. Второй момент - инструментальный, связан с тем, что не используются возможности программ для проектирования. Например, Autocad используется как электронный кульман - никто как следует не пользуется слоями, привязками, динамическими блоками, полями, не чертят 1:1, не используются возможности автоматизации с помощью lisp-программ и т.д. и т.п. Аналогично с Word, Excel и т.п. Почти никто не знает и не хочет ничего узнавать о возможностях, имеющихся у них инструментов. И все это в эпоху активного внедрения BIM-проектирования. С такими подходами в очень скором времени мы будем абсолютно неконкурентноспособны"
1533,Ценность -это люди. К каждому нужен индивидуальный подход и подбор мотивации.
1534,Интересные проекты и вовлеченность в деятельность
1535,Участие в большом проекте.
1536,"Цель: стать первыми в мире по проектированию, строительству и эксплуатации атомной энергии во всех сферах (энергетика, строительство, оборонная промышленность, медицина и всё-всё-всё)"
1537,"Инновации, введение новых продуктов атомной отрасли на Российские и международные рынки. Я являюсь частью большой, сложной структуры, я с гордостью могу сказать где я работаю, и каким важным (без преувеличения) делом мы занимаемся."
1538,материальное обеспечение сотрудников и мотивация
1539,Цель которая позволит гордится не только Компанией но также принесет неоценимую помощь населению наше страны.
1540,"Для достижения ""больших целей"" Росатома нужно ценить и мотивировать кадры, которые делают все для достижения этих целей."
1541,Перспективы роста
1542,"Новые продукты, хочу принимать участие при разработке и внедрении нововведений"
1543,Эффективность и ответственность за результат
1544,"Дешевая, экологичная и конкурентноспособная электроэнергия для населения и бизнеса Российской Федерации"
1545,Поддержка и продвижение молодых специалистов в Энергетике
1546,------
1547,Развитие новый знаний
1548,Покорение космитечкие простор и строительство АЭС на Луне.
1549,Премирование за участие в общественной жизни АТОМПРОЕКТа
1550,"чтобы ветераны и сотрудники Росатома в регионах и на центральных предприятиях не работали за гроши, а имели приличный достаток и гордились своей работой. чтобы ""эффективность"" была не просто названием ценности Росатома, а реальным качеством всех процессов."
1551,Увеличение присутствия на международном рынке.
1552,"Цели исходят из ""Стратегических целей Росатома"": 1) Повышение доли на международных рынках 2) Снижение себестоимости и сроков протекания процессов 3) Новые продукты для Российского и международных рынков. Считаю для ""Отраслевого совета молодежи"" необходимо составить свои стратегические цели, вытекающие конечно из общекорпоративных, и следовать их достижению на своем уровне."
1553,"Сомневаюсь что такая цель существует. Но было бы неплохо покончить с бессмысленным раздуванием штата и кумовством, тем самым повысив эффективность работы и увеличив зарплаты!"
1554,Меня итак вдохновляет моя работа
1555,"меня может еще больше вдохновить перевод нормоконтроля в цифровой уровень, чтобы проверка происходила не на бумаге, а в AdobePDF PRO где можно помечать и выставлять комментарии, выгружать всё это в SPF или хотя бы в общую папку на сервере АЭПа. сколько гробится бумаги, исправляя огромные комплекты из-за какой-нибудь ошибки в штампе, которая никак не влияет на работу АЭС. давайте ускорим процесс прохождения нормоконтроля, тем самым ускорим процесс сдачи комплектов рабочей документации в архив. в итоге: сроки не сорваны, как и нервы, деньги получены и деревья целы."
1556,Переход на экологически чистое производство электроэнергии
1557,"Видеть в живую результат своей работы. Это не относится к вопросу, но очень хочется в коллегах по предприятию, и росатому в целом, видеть людей, желающих помочь тебе решить трудный вопрос, а не банальное перекидывание ответственности, игнорирование писем, звонком и просьб. Абсолютное равнодушие убивает желание работать гораздо сильнее, нежели некомпетентное руководство, желающее только все запретить и всех наказать, или псевдо ""молодежное общество"", тратящее выделенный бюджет на неподобающее времяпровождение со своими приближенными."
1558,"Грамотная денежная мотивация, так как, когда премии выдаются лично, а снимаются сразу со всего управление, за срыв сроков по объектам, которыми ты даже не занимаешься, тогда ни о какой мотивации и речи быть не может. Подавляющее большинство работает только ради денег,потому что жить на что-то надо, а социальное развитие и прочее, это скорее бонус, который тем не менее никак не влияет на твой личный рабочий результат и не вдохновляет относиться к работе более, чем формально."
1559,Разработка и применение передовых мировых технологий в атомной отрасли и смежных производственных областях.
1560,Выполнение работы и поставленных задач качественно и в срок
1561,Укрепить свои позиции на мировом рынке.
1562,Развитие гражданской энергетики в моем регионе
1563,"Строительство АЭС последнего поколения по всему миру, развитие передовых технологий в области использования атомной энергии. Росатом должен быть ""Корпорацией будущего"", тогда все сотрудники будут с гордостью носить её знаки различия."
1564,"Снижение вреда, наносимого природе атомной промышленностью"
1565,Сохранение лидирующих позиций (в мире) в сфере атомной энергетики
1566,Образовательные и бизнес мероприятия на международном уровне
1567,"Понимание ценности каждого сотрудника. С одной стороны, это признание результатов его работы, с другой - материальное вознаграждение."
1568,расширение географии строительства АЭС
1569,Прорыв в сфере термоядерного синтеза
1570,Направленность на конечный результат наполняет смыслом мой ежедневный труд
1571,"задачи, аналогичные компании Теслы. бесплатная электрификация страны и пр."
1572,Развитие и достижение результата
1573,Выполнение контрактных обязательств в установленные сроки со всеми вытекающими из этого последствиями в виде премирования сотрудников)))
1574,"Уверенность в том,что проектируемые объекты будут построены."
1575,Цель быть лидером на мировом рынке
1576,Новые продукты для российского и международных рынков; повышение престижа работы в отрасли.
1577,Развитие международного сотрудничества.
1578,Запуск АЭС
1579,"Понимание, что твои действия влияют на общее развитие отрасли, очень важно для меня"
1580,"Работа не только на зарубежном ""фронте"" заказов, а в первую очередь - строительство новых объектов (АЭС) внутри нашей страны."
1581,Работа с иностранными партнерами и работа за границей.
1582,"Вдохновить и наполнить смыслом мой ежедневный труд поможет тот факт, если мою работу и работу моих коллег будут ценить."
1583,Укрепление лидерства на международном рынке сооружаемых блоков.
1584,"Разработка новых, инновационных реший"
1585,"Сделать продукт безопасным и ценным для всех, а аспекты труда таковыми, чтоб всегда было ощущение необходимости результатов твоего труда"
1586,развитие научного потенциала страны.
1587,"Прозрачность и возможность участия во всех мероприятиях для молодежи. Сейчас, обычно, могут участвовать только те, кто входит в состав совета молодежи."
1588,интересная работа и рост квалификации
1589,Достичь лидирующего положения на мировой арене.
1590,"Единая команда. Достойная зар.плата, больше спортивных мероприятий и занятия спортом в перерывах между работой"
1591,Развитие науки и оптимизация процесса
1592,"Определение сложных технических вопросов, их решение и дальнейшие публикации и выступления."
1593,"преемственность поколений (хочу чтоб мои дети с детства видели, в какой компании работаем мама, участвовали в ее жизни, и в последствии хотели здесь работать и работали)"
1594,"Постановка перед собой целью развитие атомной энергетики и осознавание зачем мы это делаем! Условно - необходимо довести процент производства эл/энергии на АЭС до 38%. Для этого необходимо как строить новые, так и улучшать существующие станции для увеличение срока работы и эксплуатации станций. Также развитие новых направлений производства эл/энергии на станциях в виде внедрения АСММ, АТЭЦ, Атомных производственных кластеров."
1595,"Единая цель, единая команда"
1596,"При текущей организации работы проектного блока с неконтролируемой системой управления проектами, при которой исполнитель получает от разных источников в день по пять сверхсрочных задач влияющих на вехи ""больших целей"" Росатома, отсутствии прозрачной системы мотивации и распределения бонусов за достижения вех проекта любые амбициозные цели воспринимаются как пускание пыли в глаза."
1597,Стремление к экологичности в работе.
1598,Обеспечение качества
1599,"улучшение качества работы и совершенствование, облегчение взаимодействий внутри отрасли. С каждым годом нагрузка на каждого человека только возрастает и всё только усложняется, нужно уменьшать бюрократию."
1600,Возможность постоянного личного развития в профессиональной сфере .
1601,создание АЭС с минимальными рисками для граждан
1602,уже вдохновлен
1603,"Мой ежедневный труд уже наполнен смыслом, но было здорово устраивать больше коллективных мероприятий для заинтересованных лиц."
1604,Карьерные возможности и провижение собственных идей!
1605,"Мой ежедневный труд достаточно плотно наполнен смыслом. Вдохновляет меня на работу мой непосредственный руководитель, заинтересованный (в отличии от многих) в достижении результатов АО ИК ""АСЭ"" в нелегком деле сооружения энергоблоков АЭС."
1606,Мероприятия и поездки спортивного направления
1607,"Выведение стадии ""планирование проекта"" на уровень, который готов поспорить с мировыми ТОПами строительных предприятий."
1608,увеличение зарубежных проектов
1609,Видеть результаты своих рабочих достижений.
1610,"Оптимизация процессов, образование, научная деятельность"
1611,"Формирование единой молодёжной команды посредством спортивных, культурных, профессиональных мероприятий"
1612,"Замена неэкологичных источников энергии на атомную энергию, как более экологичную и эффективную."
1613,Реальная возможность улучшить и повлиять на традиционные процессы.
1614,"Цель быть самой инновационной и прогрессивной отраслью, как в проммышленности, так и в других областях (социальных, технологиях и т.д.)"
1615,Цифровизация и новые бизнесы
1616,Дальнейшее заключение контрактов на строительство АЭС. Возможность расти и развиваться.
1617,У нас есть цели вдохновляющие на работу и наполняющие смыслом ежедневный труд.
1618,"В Росатоме созданы все условия для работы (наполненной смыслом). Для более интересной жизни молодежи, можно создать КВН команду."
1619,Все
1620,"""Большой целью"" Росатома считаю оценку перспектив молодых специалистов, которая будет осуществляться независимо и индивидуально, а не основываться только на характеристиках руководителей."
1621,Выход на зарубежный рынок.
1622,"Повышение престижа Российской Федерации на международной арене, главным образом, путем демонстрации высокого профессионализма и клиентоориентированности Госкорпорации."
1623,хз
1624,на мою работу и полную отдачу меня вдохновляет мой функциональный руководитель
1625,направленная на улучшение благосостояния инженера
1626,"Участие в создании и пуске атомной станции и является ""большой целью"""
1627,Внедрение передовых АЭС с реакторами типа БН.
1628,Справедливость и четкое разграничение обязанностей
1629,повышение эффективности процессов управления проектом сооружения
1630,"Не думаю,что стоило включать этот вопрос в обязательные"
1631,"Создание новых продуктов для российского и международных рынков. Использование знаний и технологий ""атомного проекта"" в гражданских отраслях."
1632,борьба с экологическими проблемами
1633,"Развитие, получение полезной информации"
1634,нет предложений
1635,Новые продукты. А еще двое детей и жена в декрете.
1636,Снижение сроков протекания процессов проектирования с СОХРАНЕНИЕМ КАЧЕСТВА проектов
1637,Стабильность.
1638,"Ощущение, что мой труд кому то нужен и тут я смогу развиваться - к сожалению, нет такого ощущения. занимаюсь однообразной и не интересной работой"
1639,вывод на международный уровень новых конкурентоспособных продуктов Росатома
1640,"Выделить из молодежи смышленых и вдумчивых инженеров с целью их становления будущими ветеранами отрасли с передовыми инструментами управления проектами взамен на значимое финансовое поощрения их образовательной и рабочей деятельности путем как премирования, так и повышение в соответствии с компетенциями. P.S. Стоит отметить, что в отрасли есть немало людей, которые являются балластом на плацдарме Росатома, занимающих уже серьезные места. Это демотивирует молодых сотрудников. Об этом успелось много вести дискуссий в разных дивизионах Росатома."
1641,Чёткая постановка цели. Чёткое построение процесса проектирования. Ответственность каждого подразделения/человека за свои обязательства и работу. Достижение целей.
